yearID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,PO,A,E,class
2003.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2008.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,true
2015.0,8.0,7.0,5.0,5.0,4.0,2.0,3.0,5.0,2.0,3.0,6.0,2.0,1.0,1.0,true
2007.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2010.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2011.0,8.0,7.0,4.0,5.0,5.0,1.0,3.0,4.0,1.0,3.0,4.0,7.0,2.0,2.0,true
2004.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,false
2002.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2007.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,false
2011.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,false
2015.0,7.0,6.0,5.0,5.0,4.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,6.0,2.0,true
2001.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2013.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2000.0,6.0,5.0,3.0,4.0,5.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,true
