playerID,birth_year,name_first,name_last,weight,height,bats,throws,debut,final_game,retro_id,bbref_id
aardsda01,1981.0,David,Aardsma,220.0,75.0,R,R,2004-04-06,2015-08-23,aardd001,aardsda01
abadan01,1972.0,Andy,Abad,184.0,73.0,L,L,2001-09-10,2006-04-13,abada001,abadan01
abadfe01,1985.0,Fernando,Abad,220.0,73.0,L,L,2010-07-28,2015-10-03,abadf001,abadfe01
abbotje01,1972.0,Jeff,Abbott,190.0,74.0,R,L,1997-06-10,2001-09-29,abboj002,abbotje01
abbotji01,1967.0,Jim,Abbott,200.0,75.0,L,L,1989-04-08,1999-07-21,abboj001,abbotji01
abbotku01,1969.0,Kurt,Abbott,180.0,71.0,R,R,1993-09-07,2001-04-13,abbok002,abbotku01
abbotky01,1968.0,Kyle,Abbott,200.0,76.0,L,L,1991-09-10,1996-08-24,abbok001,abbotky01
abbotpa01,1967.0,Paul,Abbott,185.0,75.0,R,R,1990-08-21,2004-08-07,abbop001,abbotpa01
abercre01,1980.0,Reggie,Abercrombie,215.0,75.0,R,R,2006-04-04,2008-09-28,aberr001,abercre01
abernbr01,1977.0,Brent,Abernathy,185.0,73.0,R,R,2001-06-25,2005-09-29,aberb001,abernbr01
abnersh01,1966.0,Shawn,Abner,190.0,73.0,R,R,1987-09-08,1992-10-03,abnes001,abnersh01
abregjo01,1962.0,Johnny,Abrego,185.0,72.0,R,R,1985-09-04,1985-10-03,abrej001,abregjo01
abreubo01,1974.0,Bobby,Abreu,220.0,72.0,L,R,1996-09-01,2014-09-28,abreb001,abreubo01
abreujo02,1987.0,Jose,Abreu,255.0,75.0,R,R,2014-03-31,2015-10-03,abrej003,abreujo02
abreuju01,1985.0,Juan,Abreu,185.0,72.0,R,R,2011-08-29,2011-09-27,abrej002,abreuju01
abreuto01,1984.0,Tony,Abreu,200.0,70.0,B,R,2007-05-22,2014-07-28,abret001,abreuto01
abreuwi01,1977.0,Winston,Abreu,170.0,74.0,R,R,2006-08-06,2009-07-25,abrew001,abreuwi01
accarje01,1981.0,Jeremy,Accardo,195.0,72.0,R,R,2005-05-04,2012-09-27,accaj001,accarje01
aceveal01,1982.0,Alfredo,Aceves,205.0,74.0,R,R,2008-08-31,2014-06-02,aceva001,aceveal01
acevejo01,1977.0,Jose,Acevedo,185.0,72.0,R,R,2001-06-19,2005-09-29,acevj002,acevejo01
aceveju01,1970.0,Juan,Acevedo,245.0,74.0,R,R,1995-04-30,2003-08-05,acevj001,aceveju01
achteaj01,1988.0,A. J.,Achter,205.0,77.0,R,R,2014-09-03,2015-10-04,achta001,achteaj01
ackerji01,1958.0,Jim,Acker,210.0,74.0,R,R,1983-04-07,1992-06-14,ackej001,ackerji01
ackledu01,1988.0,Dustin,Ackley,205.0,73.0,L,R,2011-06-17,2015-10-04,ackld001,ackledu01
acostma01,1981.0,Manny,Acosta,215.0,76.0,R,R,2007-08-12,2012-10-03,acosm001,acostma01
acrema01,1968.0,Mark,Acre,235.0,80.0,R,R,1994-05-13,1997-05-10,acrem001,acrema01
actama99,1969.0,Manny,Acta,172.0,74.0,R,R,,,actam801,actama99
adamecr01,1991.0,Cristhian,Adames,185.0,72.0,B,R,2014-07-29,2015-10-04,adamc001,adamecr01
adamsau01,1986.0,Austin,Adams,200.0,71.0,R,R,2014-07-12,2015-09-30,adama001,adamsau01
adamsda02,1987.0,David,Adams,205.0,73.0,R,R,2013-05-15,2013-09-29,adamd001,adamsda02
adamsjo02,1971.0,Joel,Adamson,185.0,76.0,L,L,1996-04-10,1998-04-26,adamj001,adamsjo02
adamsla01,1989.0,Lane,Adams,190.0,76.0,R,R,2014-09-01,2014-09-28,adaml001,adamsla01
adamsma01,1988.0,Matt,Adams,260.0,75.0,L,R,2012-05-20,2015-10-04,adamm002,adamsma01
adamsmi03,1978.0,Mike,Adams,210.0,77.0,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03
adamsri02,1959.0,Ricky,Adams,180.0,74.0,R,R,1982-09-15,1985-10-05,adamr001,adamsri02
adamsru01,1980.0,Russ,Adams,205.0,72.0,L,R,2004-09-03,2009-06-30,adamr002,adamsru01
adamsry01,1987.0,Ryan,Adams,185.0,71.0,R,R,2011-05-20,2011-09-19,adamr003,adamsry01
adamste01,1973.0,Terry,Adams,180.0,75.0,R,R,1995-08-10,2005-05-23,adamt001,adamste01
adamswi02,1972.0,Willie,Adams,215.0,79.0,R,R,1996-06-11,1997-08-14,adamw001,adamswi02
adcocna01,1988.0,Nathan,Adcock,235.0,76.0,R,R,2011-03-31,2015-07-26,adcon001,adcocna01
adducji01,1959.0,Jim,Adduci,200.0,77.0,L,L,1983-09-12,1989-07-26,adduj001,adducji01
adducji02,1985.0,Jim,Adduci,210.0,74.0,L,L,2013-09-01,2014-09-28,adduj002,adducji02
adenhni01,1986.0,Nick,Adenhart,185.0,75.0,R,R,2008-05-01,2009-04-08,adenn001,adenhni01
adkinjo01,1977.0,Jon,Adkins,200.0,72.0,L,R,2003-08-14,2008-09-27,adkij001,adkinjo01
adkinst01,1964.0,Steve,Adkins,210.0,78.0,R,L,1990-09-12,1990-10-03,adkis001,adkinst01
adriaeh01,1989.0,Ehire,Adrianza,170.0,73.0,B,R,2013-09-08,2015-09-22,adrie001,adriaeh01
afenitr01,1963.0,Troy,Afenir,185.0,76.0,R,R,1987-09-14,1992-07-10,afent001,afenitr01
affelje01,1979.0,Jeremy,Affeldt,225.0,76.0,L,L,2002-04-06,2015-10-04,affej001,affelje01
agbaybe01,1971.0,Benny,Agbayani,225.0,72.0,R,R,1998-06-17,2002-09-29,agbab001,agbaybe01
agostju01,1958.0,Juan,Agosto,190.0,74.0,L,L,1981-09-07,1993-06-19,agosj001,agostju01
aguaylu01,1959.0,Luis,Aguayo,173.0,69.0,R,R,1980-04-19,1989-09-30,agual001,aguaylu01
aguilch01,1979.0,Chris,Aguila,200.0,71.0,R,R,2004-06-28,2008-07-10,aguic001,aguilch01
aguilje01,1990.0,Jesus,Aguilar,250.0,75.0,R,R,2014-05-15,2015-10-04,aguij001,aguilje01
aguilri01,1961.0,Rick,Aguilera,195.0,76.0,R,R,1985-06-12,2000-09-06,aguir001,aguilri01
ahearpa01,1969.0,Pat,Ahearne,195.0,75.0,R,R,1995-06-14,1995-06-30,aheap001,ahearpa01
ahmedni01,1990.0,Nick,Ahmed,195.0,74.0,R,R,2014-06-29,2015-09-22,ahmen001,ahmedni01
aingeda01,1959.0,Danny,Ainge,175.0,76.0,R,R,1979-05-21,1981-09-22,aingd101,aingeda01
ainswku01,1978.0,Kurt,Ainsworth,192.0,75.0,R,R,2001-09-05,2004-05-14,ainsk001,ainswku01
akerfda01,1962.0,Darrel,Akerfelds,210.0,74.0,R,R,1986-08-01,1991-07-02,akerd001,akerfda01
albagi01,1960.0,Gibson,Alba,160.0,74.0,L,L,1988-05-03,1988-05-08,albag001,albagi01
albaljo01,1982.0,Jonathan,Albaladejo,270.0,77.0,R,R,2007-09-05,2012-07-20,albaj001,albaljo01
alberan01,1985.0,Andrew,Albers,200.0,73.0,R,L,2013-08-06,2015-05-01,albea001,alberan01
alberha01,1992.0,Hanser,Alberto,215.0,71.0,R,R,2015-05-29,2015-09-24,albeh001,alberha01
alberjo01,1969.0,Jose,Alberro,190.0,74.0,R,R,1995-04-27,1997-08-05,albej001,alberjo01
alberma01,1983.0,Matt,Albers,225.0,73.0,L,R,2006-07-25,2015-10-02,albem001,alberma01
albural01,1986.0,Al,Alburquerque,195.0,72.0,R,R,2011-04-15,2015-09-29,albua001,albural01
alcanar01,1991.0,Arismendy,Alcantara,170.0,70.0,B,R,2014-07-09,2015-04-19,alcaa001,alcanar01
